galaxy,C_kin,C_conc,f_dm,f_gas,Vmax,Rmax,N_points,fdm_0.0_0.2,fdm_0.2_0.4,fdm_0.4_0.6,fdm_0.6_0.8,fdm_0.8_1.0,T,log_Vmax
UGC02259,0.839950996475061,0.43422438315635353,0.8316756025491391,0.3671451204738339,90.0,8.14,8,0.8988022089406174,0.8508200623320329,0.8170163028892157,0.8210564896203256,0.8251781864307435,,1.954242509439325
UGC02455,0.8013388117824124,0.4092267122488362,-0.21052496474155546,0.13577094430848813,61.0,4.03,8,-1.9798370155106508,-2.8468194568325766,-1.8907453627180875,-0.8976404432598926,-0.11932267228446447,,1.7853298350107671
UGC02487,0.7440559403450918,0.4937252987515472,0.840560395366601,0.034210384596823136,383.0,80.38,17,0.6142075584964392,0.681292425090893,0.7634479838396123,0.7944559960678212,0.8340647084839437,,2.583198773968623
UGC02885,0.8116289192438713,0.29949231241320023,0.7568287762938607,0.11949531547720925,305.0,74.07,19,0.4636272322263568,0.58351982748016,0.6403456888288466,0.7188805208235749,0.7529356977163192,,2.484299839346786
UGC02916,0.4575997518811887,0.47299107169975796,0.5782351766852305,0.05108045690770151,218.0,38.0,43,0.27315650243383244,0.508155773078223,0.58325762364544,0.5864131193513119,0.5795047020570114,,2.3384564936046046
UGC02953,0.04597662855123883,0.4551830704858439,0.7799642266831542,0.009662486772533032,319.0,62.39,115,0.3478277242919931,0.5832759849584814,0.7212684176513561,0.7891078827746326,0.8327777814877301,,2.503790683057181
UGC03205,0.4214153220525619,0.4986172306707201,0.6951607896315637,0.03704596840179773,237.0,40.04,48,0.5056850535101678,0.5232582334694977,0.6344209509900536,0.7193221355251908,0.8091618873966941,,2.374748346010104
UGC03546,0.10945528002074274,0.30792249418377265,0.6685918586760702,0.00955047604305504,262.0,29.23,30,0.018900015088170907,0.40890194902001703,0.5635384620973685,0.648154225730057,0.7244922850250815,,2.4183012913197452
UGC03580,0.004692609448593911,0.32919621902665164,0.7603505764720857,0.08431848521280791,131.0,27.06,47,-0.09729222089351935,0.622409120331881,0.7152299845557879,0.7985477511331543,0.8384159340318681,,2.1172712956557644
UGC04278,0.5401353779942509,0.5040251026626666,0.7966320983370713,0.3640886863715676,92.8,6.69,25,0.6851964312724241,0.6998834659168611,0.7973885693556106,0.874403380572438,0.8040720407824284,,1.9675479762188621
UGC04305,0.1640486922814638,0.48669488472199385,0.060270675225195205,0.4457006186259543,37.3,5.52,22,-0.0766323188173362,0.5515732501798467,0.32158026784015237,-0.05359070129086055,0.0788759932509612,,1.5717088318086876
UGC04325,0.6073680619607571,0.5101979189639448,0.7729196630891763,0.3294557082598015,92.7,5.59,8,0.8662668187067991,0.8663667256725254,0.8093451000230055,0.7719403900631427,0.7745207947130843,,1.967079734144497
UGC04483,0.19810825221405604,0.33990363247433436,0.6960920081327959,0.7160424099238051,24.3,1.21,8,0.5564451355569717,0.6575239734037233,0.6878943232248529,0.6646737148778395,0.7067781842198857,,1.3856062735983121
UGC04499,0.7408758961935972,0.41574090286711957,0.7200766951249135,0.47902479906965145,74.3,8.18,9,0.3123707100591726,0.6972586349508647,0.6897738396848898,0.7247723632016494,0.7138074946630212,,1.8709888137605752
UGC05005,0.8535614322896005,0.49153887734221396,0.8152788301072795,0.5051666472297199,100.0,28.61,11,0.534457013965028,0.7328567747805654,,0.8140134629593933,,,2.0
UGC05253,0.324312572277822,0.32399860371131795,0.680808118704602,0.013274689630301024,248.0,53.29,73,0.35288931337678964,0.6060529397396927,0.7094537001709571,0.7367388652843037,0.7656156144775915,,2.3944516808262164
UGC05716,0.8376478067731896,0.3624293040060588,0.8243880385425886,0.6880841860240258,74.7,12.37,12,0.8288665231250744,0.8433814672429835,0.844153480308622,0.8213839742234711,0.8155314027169221,,1.8733206018153987
UGC05721,0.023431928641578257,0.379581505708236,0.87130874512188,0.3860357738345439,82.6,6.74,23,0.64701873275036,0.8378992430873343,0.8767512981536646,0.8724634894360626,0.8707815555706631,,1.9169800473203822
UGC05750,0.7935387836288713,0.593333252388744,0.7518677681921281,0.4202341448953685,78.9,22.85,11,0.49803885928178604,0.7726364345036719,0.7658498787737243,,,,1.8970770032094204
UGC05764,0.4405449262504497,0.40852160345516114,0.821630904656852,0.8131278930762704,55.8,3.62,10,0.9522259713868106,0.9104432209407123,0.8792174223268118,0.8501857472283245,0.8223498814691154,,1.7466341989375787
UGC05829,0.7631687837245644,0.4755495231356669,0.6890406685767153,0.7140031533581421,68.6,6.91,11,0.8577121321939828,0.8702801269708038,0.7953991288695654,0.7400739474780064,0.6824463418819793,,1.8363241157067516
UGC05918,0.6477486142181013,0.5175062716347784,0.8159833692959655,0.4884912102410265,44.5,4.46,8,0.87179440495781,0.9013031125421036,0.8438237380751118,0.8259988241027669,0.8150814983799513,,1.6483600109809315
UGC05986,0.705649496484511,0.5096350666664742,0.8361766519896662,0.18605647572555267,116.0,9.41,15,0.5614214538020544,0.7010154237116748,0.7594349096121853,0.79818313267935,0.8352684729927411,,2.0644579892269186
UGC06399,0.7473644363345202,0.48990770860763044,0.7958434881603033,0.28575717144236035,87.6,7.85,9,0.6500186166753388,0.7623534019916736,0.7830462501589521,0.7915123915545925,0.7939169837431216,,1.9425041061680808
UGC06446,0.5062778926328849,0.3860974877477333,0.8040223523571584,0.5950549532342571,84.9,10.22,17,0.828012718973499,0.8518772627596861,0.8474050947559667,0.800335685931551,0.8076904707540566,,1.9289076902439528
UGC06614,0.9163481887412139,0.7527651556090099,0.790681431243999,0.058294048534498516,205.0,64.59,13,0.33476722125591163,0.4866610677355423,0.7413202284245762,0.7901760630577037,,,2.311753861055754
UGC06667,0.7677659529426596,0.6217507586093795,0.8807118562287574,0.6692658249771373,85.7,7.85,9,0.9661608909491775,0.957985492014254,0.9161168331061229,0.8907914916096977,0.8733406643598616,,1.932980821923198
UGC06786,0.03162511610264247,0.4106225851588249,0.8194837370037881,0.023182461109996496,229.0,34.05,45,0.5119195698670433,0.654433115821441,0.7761988053019809,0.8327272812339724,0.8612788914281402,,2.359835482339888
UGC06787,4.573607682124364e-08,0.35895612853436726,0.8211782957728699,0.012391448671620807,276.0,37.19,71,0.3520477818848488,0.6575886162558245,0.7588936693237908,0.8364289803341974,0.8678367636000469,,2.4409090820652177
UGC06818,0.6687177648131947,0.41463537452039706,0.7902848846646687,0.20712569503297984,74.4,6.98,8,0.2945545693622629,0.18301775433184336,0.5721869041734342,0.771135062209,0.7702458486159898,,1.8715729355458788
UGC06917,0.8353737906633885,0.48744421795775544,0.7503347382945572,0.21238615951120202,111.0,10.47,11,0.5485895127602266,0.6915654969020384,0.7470020892979511,0.7395465371924497,0.7541474142351156,,2.0453229787866576
UGC06930,0.8337141145384902,0.4755988152872019,0.7240675711591221,0.3478372669994401,109.0,16.61,10,0.537302621244682,0.745170166750206,0.7089126148334137,0.6952415429364975,0.7119092013888889,,2.037426497940624
UGC06973,0.916821407940143,0.5370940624395283,0.43924465636333365,0.02253380577163575,180.0,7.85,9,,-0.8710738338282037,-0.13496442128027686,0.16400729284224214,0.377752491476588,,2.255272505103306
